food,kcal,protein,carbs,fat,serving_size
McDonald’s - 1% Low Fat Milk Jug,100.0,0.0,0.0,0.0,1 unidade
McDonald’s - 1% Low Fat Chocolate Milk Jug,170.0,0.0,0.0,0.0,1 unidade
McDonald’s - Minute Maid® 100% Apple Juice Box,100.0,0.0,0.0,0.0,1 unidade
McDonald’s - Minute Maid® Orange Juice (Small),150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Minute Maid® Orange Juice (Medium),190.0,0.0,0.0,0.0,1 unidade
McDonald’s - Minute Maid® Orange Juice (Large),280.0,0.0,0.0,0.0,1 unidade
McDonald’s - Coca-Cola® Classic (Child),110.0,0.0,0.0,0.0,1 unidade
McDonald’s - Coca-Cola® Classic (Small),150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Coca-Cola® Classic (Medium),210.0,0.0,0.0,0.0,1 unidade
McDonald’s - Coca-Cola® Classic (Large),310.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sprite® (Child),110.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sprite® (Small),150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sprite® (Medium),210.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sprite® (Large),310.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hi-C® Orange Lavaburst (Child),120.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hi-C® Orange Lavaburst (Small),160.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hi-C® Orange Lavaburst (Medium),240.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hi-C® Orange Lavaburst (Large),350.0,0.0,0.0,0.0,1 unidade
McDonald’s - POWERade® Mountain Blast (Child),70.0,0.0,0.0,0.0,1 unidade
McDonald’s - POWERade® Mountain Blast (Small),100.0,0.0,0.0,0.0,1 unidade
McDonald’s - POWERade® Mountain Blast (Medium),150.0,0.0,0.0,0.0,1 unidade
McDonald’s - POWERade® Mountain Blast (Large),220.0,0.0,0.0,0.0,1 unidade
McDonald’s - Coffee Cream,20.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sugar Packet,15.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Coffee– Caramel (Small),130.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Coffee– Caramel (Medium),190.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Coffee– Caramel (Large),270.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Coffee– Hazelnut (Small),130.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Coffee– Hazelnut (Medium),190.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Coffee– Hazelnut (Large),270.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Coffee– Regular (Small),140.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Coffee– Regular (Medium),200.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Coffee– Regular (Large),280.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Coffee– Vanilla (Small),130.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Coffee– Vanilla (Medium),190.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Coffee– Vanilla (Large),270.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Coffee with Sugar Free Vanilla Syrup (Small),60.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Coffee with Sugar Free Vanilla Syrup (Medium),90.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Coffee with Sugar Free Vanilla Syrup (Large),120.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sweet Tea (Child),110.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sweet Tea (Large),280.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sweet Tea (Medium),180.0,0.0,0.0,0.0,1 unidade
McDonald’s - Sweet Tea (Small),150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Cappuccino (Small),60.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Cappuccino (Medium),80.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Cappuccino (Large),90.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Latte (Small),90.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Latte (Medium),110.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Latte (Large),120.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Caramel Cappuccino (Small),150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Caramel Cappuccino (Medium),190.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Caramel Cappuccino (Large),230.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Caramel Latte (Small),170.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Caramel Latte (Medium),220.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Caramel Latte (Large),260.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Hazelnut Cappuccino (Small),150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Hazelnut Cappuccino (Medium),190.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Hazelnut Cappuccino (Large),230.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Hazelnut Latte (Small),180.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Hazelnut Latte (Medium),220.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Hazelnut Latte (Large),260.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Vanilla Cappuccino (Small),150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Vanilla Cappuccino (Medium),190.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Vanilla Cappuccino (Large),230.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Vanilla Latte (Small),180.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Vanilla Latte (Medium),220.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Vanilla Latte (Large),260.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Cappuccino with Sugar Free Vanilla Syrup (Small),50.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Cappuccino with Sugar Free Vanilla Syrup (Medium),70.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Cappuccino with Sugar Free Vanilla Syrup (Large),80.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Latte with Sugar Free Vanilla Syrup (Small),80.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Latte with Sugar Free Vanilla Syrup (Medium),90.0,0.0,0.0,0.0,1 unidade
McDonald’s - Nonfat Latte with Sugar Free Vanilla Syrup (Large),110.0,0.0,0.0,0.0,1 unidade
McDonald’s - Mocha with Nonfat Milk (Small),240.0,0.0,0.0,0.0,1 unidade
McDonald’s - Mocha with Nonfat Milk (Medium),280.0,0.0,0.0,0.0,1 unidade
McDonald’s - Mocha with Nonfat Milk (Large),330.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hot Chocolate with Nonfat Milk (Small),250.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hot Chocolate with Nonfat Milk (Medium),310.0,0.0,0.0,0.0,1 unidade
McDonald’s - Hot Chocolate with Nonfat Milk (Large),390.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Latte (Small),50.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Latte (Medium),60.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Latte (Large),70.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Caramel Latte (Small),140.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Caramel Latte (Medium),150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Caramel Latte (Large),190.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Hazelnut Latte (Small),140.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Hazelnut Latte (Medium),150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Hazelnut Latte (Large),190.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Vanilla Latte (Small),140.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Vanilla Latte (Medium),150.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Vanilla Latte (Large),190.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Latte with Sugar Free Vanilla Syrup (Small),40.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Latte with Sugar Free Vanilla Syrup (Medium),50.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Latte with Sugar Free Vanilla Syrup (Large),60.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Mocha with Nonfat Milk (Medium),270.0,0.0,0.0,0.0,1 unidade
McDonald’s - Iced Nonfat Caramel Mocha (Large),300.0,0.0,0.0,0.0,1 unidade
